,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
StorageforNode200,0.3416666666666667,,
StorageforNode201,0.3527777777777778,,
StorageforNode202,0.6805555555555556,,
StorageforNode203,0.9111111111111111,,
StorageforNode204,0.4083333333333333,,
StorageforNode205,0.6027777777777777,,
StorageforNode206,0.40555555555555556,,
StorageforNode207,0.10833333333333334,3.3194444444444446,
StorageforNode208,0.10555555555555556,3.313888888888889,
StorageforNode209,0.002777777777777778,0.002777777777777778,2.0833333333333335
StorageforNode210,0.005555555555555556,0.005555555555555556,2.3833333333333333
StorageforNode212,0.03888888888888889,0.06388888888888888,2.6638888888888888
StorageforNode213,0.275,2.533333333333333,
StorageforNode214,0.11666666666666667,3.9805555555555556,
StorageforNode216,0.175,,
StorageforNode217,0.2861111111111111,,
StorageforNode218,0.5138888888888888,,
StorageforNode219,0.18611111111111112,,
StorageforNode220,0.075,0.9305555555555556,
StorageforNode221,0.22777777777777777,,
StorageforNode222,0.08888888888888889,0.11944444444444445,3.0722222222222224
StorageforNode223,0.4777777777777778,,
StorageforNode224,0.5666666666666667,,
StorageforNode227,1.261111111111111,,
StorageforNode228,0.38333333333333336,,
StorageforNode229,0.34444444444444444,,
StorageforNode230,0.37222222222222223,,
StorageforNode231,0.4527777777777778,,
StorageforNode232,0.6888888888888889,,
StorageforNode233,0.38055555555555554,,
StorageforNode234,0.06388888888888888,0.13055555555555556,3.261111111111111
StorageforNode235,0.11388888888888889,,
StorageforNode236,0.08333333333333333,,
StorageforNode237,0.12777777777777777,0.33611111111111114,3.938888888888889
StorageforNode238,0.4777777777777778,,
StorageforNode239,0.2361111111111111,,
StorageforNode240,0.09444444444444444,0.1638888888888889,3.3916666666666666
StorageforNode241,0.33055555555555555,,
StorageforNode242,0.2722222222222222,,
StorageforNode243,0.6583333333333333,,
StorageforNode244,0.6277777777777778,,
StorageforNode246,0.8111111111111111,,
StorageforNode247,0.08888888888888889,3.475,
StorageforNode249,0.6166666666666667,,
StorageforNode250,0.3972222222222222,,
StorageforNode251,0.4027777777777778,,
StorageforNode252,0.4305555555555556,,
StorageforNode253,0.002777777777777778,0.002777777777777778,2.138888888888889
StorageforNode255,0.6166666666666667,,
StorageforNode256,0.025,0.2111111111111111,3.75
StorageforNode257,0.25555555555555554,,
StorageforNode259,0.08055555555555556,0.33055555555555555,3.763888888888889
StorageforNode260,0.08333333333333333,0.3416666666666667,3.8
StorageforNode261,0.13055555555555556,,
StorageforNode262,0.14722222222222223,,
StorageforNode263,0.18333333333333332,,
StorageforNode264,0.016666666666666666,0.03611111111111111,2.8361111111111112
StorageforNode265,0.45555555555555555,,
StorageforNode266,1.1583333333333334,,
StorageforNode267,0.7194444444444444,,
StorageforNode268,0.3888888888888889,,
